region,district,code,name,type,type_category,ownership_category,ownership_authority,status
Songwe,Songwe Dc,121541-7,ISECHE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Songwe,Songwe Dc,121540-9,IFWENKENYA,Health Center,Kituo cha Afya,Public,LGA,Operating
Morogoro,Malinyi Dc,121539-1,BIRO GVT,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Mbeya Cc,121538-3,MBWAMBO,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Morogoro Dc,121536-7,STATION ROAD,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Katavi,Mpanda Dc,121535-9,EBEN,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Katavi,Mpanda Dc,121534-2,HURUMA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,NGOs,Operating
Rukwa,Kalambo Dc,121533-4,ARAFA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Songwe,Tunduma Tc,121532-6,CHAMBO MEDICAL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Arusha,Arusha Cc,121531-8,PONA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit With Joint Venture,Operating
Singida,Singida Dc,121530-0,VATCAN HEALTH LABORATORY,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Chamwino Dc,121529-2,MBISI,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Chamwino Dc,121528-4,JEHOVA SHAMMAH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,121527-6,BEBACARO,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,121526-8,APEX,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,121525-0,UPENDO NTYUKA DODOMA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,121524-3,MOLLEL MAJENGO MEDICAL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,NGOs,Operating
Dodoma,Chamwino Dc,121523-5,USEMI,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,121522-7,SMATI AFYA LABORATORY,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Kondoa Dc,121521-9,MEDZONY,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Shinyanga,Kahama Tc,121520-1,BUKONDAMOYO,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Investor(For Foreigners),Operating
Shinyanga,Kahama Tc,121519-3,URASA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
