code,name
S.0842,LITEMBO SECONDARY SCHOOL
S.0843,SOTELE SECONDARY SCHOOL
S.0844,THAQALAIN ISLAMIC SEMINARY
S.0845,KIGONIGONI SECONDARY SCHOOL
S.0846,UKOMBOZI SECONDARY SCHOOL
S.0847,MOGABIRI SECONDARY SCHOOL
S.0848,DAUDI SECONDARY SCHOOL
S.0849,MOREMBE DAY SECONDARY SCHOOL
S.0850,MKOMBOZI SECONDARY SCHOOL
S.0851,USANGI DAY SECONDARY SCHOOL
S.0852,EMANYATA SECONDARY SCHOOL
S.0853,KIZWITE SECONDARY SCHOOL
S.0854,NYANGAO SECONDARY SCHOOL
